Magnitude,Depth,destruction,Victim's reaction,Intensity
6.7,10.0,3,4,5
6.6,33.0,6,7,8
7.5,20.0,9,10,11
7.3,22.0,7,8,9
5.9,33.0,8,9,10
8.0,27.9,7,8,9
6.4,33.0,8,9,10
7.5,40.0,8,9,10
6.9,136.0,4,5,6
7.0,43.0,5,6,7
6.5,38.0,3,4,5
6.6,15.0,5,6,7
6.9,10.0,3,4,5
7.0,10.0,5,6,7
6.2,13.0,8,9,10
6.5,20.0,4,5,6
6.9,10.0,1,2,3
6.6,57.92,4,5,6
6.9,33.0,4,5,6
5.7,10.0,7,8,9
5.4,15.0,5,6,7
6.3,10.0,7,8,9
6.5,15.0,6,7,8
8.2,35.0,5,6,7
6.9,29.0,2,3,4
6.1,95.0,4,5,6
6.6,39.0,5,6,7
7.1,135.0,4,5,6
5.8,15.0,6,7,8
7.9,33.0,3,4,5
5.8,25.0,6,7,8
6.5,20.0,7,8,9
5.5,21.0,6,7,8
6.9,8.0,7,8,9
7.1,103.0,5,6,7
6.6,24.0,5,6,7
6.6,15.0,7,8,9
6.6,107.0,4,5,6
6.6,27.0,3,4,5
6.5,90.0,5,6,7
6.8,122.9,4,5,6
6.5,20.0,4,5,6
6.9,615.42,4,5,6
4.8,12.0,5,6,7
6.8,72.6,4,5,6
7.4,26.0,7,8,9
7.1,18.0,8,9,10
6.8,36.0,4,5,6
7.0,22.0,5,6,7
6.9,6.43,5,6,7
7.3,35.0,5,6,7
6.5,15.0,8,9,10
5.4,5.0,5,6,7
5.5,30.0,6,7,8
7.1,18.0,7,8,9
7.1,25.0,7,8,9
7.8,28.0,6,7,8
8.0,644.8,2,3,4
8.0,55.0,5,6,7
6.5,8.0,7,8,9
7.0,33.0,6,7,8
6.0,12.0,5,6,7
6.5,100.8,4,5,6
6.1,9.0,4,5,6
6.4,14.0,7,8,9
7.4,23.0,6,7,8
6.5,44.26,1,2,3
6.7,63.0,6,7,8
6.5,33.0,3,4,5
6.8,12.0,5,6,7
7.8,664.0,1,2,3
6.8,21.0,3,4,5
6.5,187.0,2,3,4
7.4,173.7,4,5,6
6.8,22.86,4,5,6
6.6,10.0,6,7,8
6.5,34.0,4,5,6
6.5,100.8,4,5,6
7.7,44.0,6,7,8
7.2,10.0,7,8,9
6.8,82.0,4,5,6
6.7,10.0,6,7,8
6.6,12.0,5,6,7
6.7,3.0,6,7,8
7.3,146.82,4,5,6
7.8,69.0,6,7,8
6.6,27.0,3,4,5
6.8,35.0,5,6,7
7.6,22.56,5,6,7
6.5,44.26,1,2,3
6.0,5.0,4,5,6
6.6,57.0,6,7,8
7.0,10.0,2,3,4
6.1,33.0,5,6,7
7.1,48.0,6,7,8
6.5,8.0,7,8,9
7.6,33.0,4,5,6
6.5,9.0,6,7,8
7.5,10.0,9,10,11
5.5,33.0,2,3,4
6.0,33.0,6,7,8
6.5,17.0,5,6,7
6.5,6.8,2,3,4
6.7,23.0,5,6,7
6.9,28.42,3,4,5
6.7,10.0,6,7,8
6.6,166.2,4,5,6
8.3,10.0,4,5,6
6.5,33.0,4,5,6
6.7,15.0,9,10,11
6.0,10.0,5,6,7
6.6,19.0,5,6,7
7.9,135.0,5,6,7
6.5,10.0,4,5,6
7.3,20.0,5,6,7
6.7,30.0,3,4,5
7.1,155.0,3,4,5
6.9,30.0,5,6,7
8.0,600.0,2,3,4
6.7,12.0,2,3,4
8.6,15.0,4,5,6
6.6,212.0,2,3,4
8.2,600.0,2,3,4
6.4,26.0,3,4,5
6.9,7.8,6,7,8
7.1,35.0,5,6,7
6.0,10.0,7,8,9
6.5,27.0,5,6,7
6.1,13.0,4,5,6
6.0,12.0,9,10,11
6.8,15.0,8,9,10
8.6,25.0,6,7,8
7.3,10.0,4,5,6
6.5,24.0,4,5,6
6.6,591.0,1,2,3
9.0,22.0,5,6,7
7.9,4.2,7,8,9
6.7,10.0,8,9,10
6.0,38.0,3,4,5
7.5,19.0,3,4,5
6.6,53.19,4,5,6
7.0,19.0,3,4,5
5.6,10.0,5,6,7
5.6,15.0,5,6,7
7.7,60.0,7,8,9
6.7,13.0,3,4,5
8.3,22.44,6,7,8
6.6,614.0,1,2,3
7.4,24.0,5,6,7
6.9,26.0,7,8,9
5.5,27.0,4,5,6
7.3,14.27,3,4,5
5.3,10.0,5,6,7
6.6,33.0,4,5,6
7.0,48.0,5,6,7
8.1,33.0,5,6,7
6.8,12.0,4,5,6
7.7,16.0,7,8,9
7.5,24.0,4,5,6
7.7,15.0,6,7,8
7.0,18.0,5,6,7
7.1,34.0,4,5,6
6.6,128.1,3,4,5
6.5,28.737,5,6,7
4.9,10.0,4,5,6
7.3,527.0,2,3,4
8.1,45.0,7,8,9
6.7,55.0,5,6,7
7.1,42.0,5,6,7
6.6,10.0,7,8,9
7.8,664.0,4,5,6
7.9,4.2,7,8,9
7.8,10.0,7,8,9
8.4,33.0,6,7,8
6.7,12.0,3,4,5
6.8,33.0,5,6,7
8.3,10.0,5,6,7
7.1,15.0,8,9,10
6.6,10.0,5,6,7
8.1,34.0,7,8,9
6.9,21.0,3,4,5
6.7,152.0,3,4,5
8.16,27.0,7,8,9
6.5,17.0,3,4,5
6.8,24.9,4,5,6
7.0,14.0,5,6,7
6.8,53.0,3,4,5
5.1,11.0,5,6,7
6.6,7.0,5,6,7
7.6,40.0,8,9,10
7.1,43.98,6,7,8
6.8,15.0,8,9,10
7.9,42.6,5,6,7
6.5,21.0,4,5,6
7.2,236.0,3,4,5
7.5,10.0,7,8,9
7.0,10.0,2,3,4
6.5,17.0,2,3,4
6.0,10.0,8,9,10
6.6,33.0,4,5,6
5.9,80.0,5,6,7
8.2,600.0,3,4,5
6.8,50.0,3,4,5
4.9,10.0,5,6,7
7.6,17.0,5,6,7
7.9,42.6,5,6,7
6.6,15.0,5,6,7
6.3,2.0,6,7,8
6.9,15.0,3,4,5
7.0,16.6,5,6,7
7.5,10.0,5,6,7
7.8,33.0,5,6,7
7.3,165.49,5,6,7
7.8,15.0,7,8,9
6.0,12.0,8,9,10
6.6,12.0,2,3,4
6.8,10.0,4,5,6
6.8,21.0,3,4,5
6.5,20.0,2,3,4
6.9,12.0,2,3,4
5.1,10.0,5,6,7
7.0,58.0,7,8,9
7.8,28.0,5,6,7
7.6,15.0,4,5,6
7.3,40.0,4,5,6
6.8,18.3,4,5,6
5.6,21.0,5,6,7
6.2,6.0,4,5,6
4.0,3.0,5,6,7
8.0,10.0,3,4,5
6.2,18.0,5,6,7
7.9,14.06,2,3,4
6.9,53.0,6,7,8
7.0,552.06,4,5,6
8.2,35.0,5,6,7
6.5,70.0,4,5,6
6.8,20.0,7,8,9
6.6,25.7,3,4,5
6.7,31.0,4,5,6
5.9,13.0,5,6,7
6.8,19.7,4,5,6
8.0,60.5,7,8,9
8.2,30.0,8,9,10
9.1,30.0,6,7,8
6.4,20.0,3,4,5
7.7,60.0,7,8,9
7.5,50.0,3,4,5
6.6,15.0,5,6,7
6.2,10.0,6,7,8
5.8,33.0,5,6,7
7.5,8.7,4,5,6
6.8,169.0,3,4,5
6.5,598.925,0,1,2
6.9,20.0,3,4,5
6.6,10.0,5,6,7
6.4,10.0,6,7,8
7.3,16.56,5,6,7
7.8,24.0,3,4,5
6.6,27.8,2,3,4
7.2,16.0,2,3,4
6.5,18.0,5,6,7
6.6,10.0,4,5,6
6.9,107.0,5,6,7
7.6,15.0,8,9,10
6.5,24.0,2,3,4
6.1,8.0,5,6,7
6.6,17.0,3,4,5
6.7,94.0,4,5,6
6.2,50.0,5,6,7
7.9,109.0,6,7,8
6.5,38.0,3,4,5
6.8,65.0,7,8,9
6.7,16.0,8,9,10
6.8,10.0,3,4,5
6.1,9.0,2,3,4
6.5,10.0,5,6,7
6.8,14.0,5,6,7
7.5,18.0,4,5,6
6.5,226.5,2,3,4
8.1,22.79,5,6,7
7.5,27.0,7,8,9
5.8,10.0,7,8,9
6.5,20.0,4,5,6
7.0,267.0,2,3,4
6.9,10.0,1,2,3
6.5,33.0,4,5,6
6.6,25.0,4,5,6
7.2,110.0,5,6,7
5.8,11.0,3,4,5
6.5,10.0,4,5,6
8.2,32.2,5,6,7
6.7,12.0,3,4,5
6.7,24.0,5,6,7
6.8,72.6,4,5,6
7.4,33.0,7,8,9
7.0,10.0,4,5,6
6.4,13.0,7,8,9
8.0,46.0,5,6,7
7.2,15.0,8,9,10
6.5,10.0,5,6,7
7.4,35.0,3,4,5
7.5,120.0,5,6,7
6.7,16.0,6,7,8
7.0,37.0,4,5,6
5.1,26.0,5,6,7
7.5,33.0,7,8,9
6.8,198.0,3,4,5
7.1,33.0,4,5,6
6.6,13.0,3,4,5
7.0,12.0,6,7,8
6.5,10.0,5,6,7
5.5,54.0,3,4,5
7.6,31.0,3,4,5
8.1,10.0,3,4,5
6.5,187.0,2,3,4
7.3,165.49,5,6,7
6.8,52.0,6,7,8
6.2,12.0,2,3,4
7.6,15.0,6,7,8
6.6,12.0,2,3,4
5.8,16.0,6,7,8
6.8,13.7,4,5,6
6.6,54.0,5,6,7
8.1,24.0,6,7,8
6.6,33.0,4,5,6
8.1,33.0,5,6,7
6.9,28.0,4,5,6
6.6,19.0,5,6,7
6.7,21.0,4,5,6
7.8,20.0,10,11,12
6.6,50.0,4,5,6
8.6,21.0,7,8,9
7.9,109.0,6,7,8
6.5,10.0,5,6,7
6.7,5.0,7,8,9
8.7,36.0,4,5,6
7.3,20.0,5,6,7
7.8,59.0,7,8,9
7.4,43.0,5,6,7
6.6,204.8,2,3,4
5.7,17.0,6,7,8
4.5,10.0,0,1,2
7.0,23.0,5,6,7
8.3,10.0,4,5,6
7.1,10.0,3,4,5
7.2,236.0,3,4,5
7.0,594.028,1,2,3
5.2,23.0,3,4,5
4.7,16.0,4,5,6
6.7,23.0,3,4,5
6.5,187.589,3,4,5
5.9,9.0,1,2,3
7.4,43.0,5,6,7
6.5,45.8,4,5,6
6.7,23.0,3,4,5
7.9,100.0,8,9,10
6.5,12.26,5,6,7
8.0,20.0,7,8,9
6.5,35.0,3,4,5
5.0,10.0,5,6,7
7.0,48.0,5,6,7
7.2,20.0,5,6,7
5.9,13.0,7,8,9
8.1,18.0,4,5,6
6.7,33.0,2,3,4
8.5,70.0,9,10,11
6.0,5.0,6,7,8
6.5,20.0,4,5,6
6.8,12.0,4,5,6
7.8,69.0,6,7,8
7.7,10.0,2,3,4
6.7,33.0,3,4,5
8.16,27.0,7,8,9
6.5,43.0,4,5,6
7.2,177.0,5,6,7
7.0,33.0,4,5,6
6.8,12.0,3,4,5
7.1,28.0,4,5,6
7.3,100.0,8,9,10
6.8,25.0,4,5,6
6.9,120.0,8,9,10
6.0,30.0,6,7,8
7.1,42.0,6,7,8
6.6,10.0,6,7,8
7.1,206.7,3,4,5
7.3,22.0,7,8,9
6.8,12.5,6,7,8
6.8,540.0,1,2,3
5.7,8.0,8,9,10
6.1,6.0,4,5,6
6.3,107.0,5,6,7
7.1,12.0,2,3,4
7.9,100.0,8,9,10
5.4,30.0,4,5,6
5.9,31.0,5,6,7
8.1,30.0,5,6,7
6.6,614.0,1,2,3
7.5,33.0,5,6,7
6.5,100.8,4,5,6
7.0,137.0,3,4,5
7.5,20.0,8,9,10
6.6,40.0,4,5,6
7.3,37.0,3,4,5
6.7,152.0,3,4,5
6.5,10.0,8,9,10
6.5,10.0,5,6,7
7.0,11.0,4,5,6
6.5,13.4,5,6,7
6.8,33.0,3,4,5
7.8,25.0,8,9,10
7.6,105.0,3,4,5
6.6,15.0,6,7,8
6.5,15.0,6,7,8
7.8,50.0,8,9,10
5.7,4.0,8,9,10
6.0,5.0,8,9,10
6.6,27.0,3,4,5
6.5,37.0,1,2,3
7.0,24.0,5,6,7
7.1,35.0,5,6,7
5.0,11.0,4,5,6
7.6,33.0,5,6,7
7.6,24.0,5,6,7
5.3,0.0,2,3,4
7.5,280.0,3,4,5
6.7,10.0,8,9,10
6.7,16.0,5,6,7
7.0,21.0,5,6,7
5.8,8.0,3,4,5
5.3,10.0,6,7,8
6.7,11.0,2,3,4
5.7,10.0,6,7,8
7.8,60.0,3,4,5
7.3,15.0,8,9,10
7.0,13.0,7,8,9
7.4,6.0,7,8,9
7.0,10.0,5,6,7
5.8,10.0,7,8,9
5.7,12.0,4,5,6
7.0,30.0,7,8,9
7.1,10.0,5,6,7
5.0,24.0,6,7,8
7.3,40.0,6,7,8
6.4,26.0,3,4,5
6.2,33.0,6,7,8
6.5,33.0,3,4,5
7.0,10.0,8,9,10
8.6,20.0,5,6,7
7.3,24.0,3,4,5
7.5,33.0,4,5,6
7.2,68.0,5,6,7
6.4,10.0,8,9,10
6.5,10.0,3,4,5
6.6,29.0,5,6,7
6.9,70.0,5,6,7
7.3,33.0,8,9,10
6.8,46.0,5,6,7
6.7,24.0,5,6,7
5.8,26.0,6,7,8
6.6,26.0,5,6,7
6.6,39.0,5,6,7
8.0,60.5,7,8,9
7.0,14.0,5,6,7
6.3,79.0,5,6,7
4.9,10.0,4,5,6
6.8,602.2,1,2,3
8.2,46.0,7,8,9
7.7,20.0,7,8,9
7.9,33.0,5,6,7
6.5,56.0,4,5,6
7.5,31.0,4,5,6
6.9,53.0,6,7,8
6.7,12.0,5,6,7
7.3,19.0,6,7,8
6.7,573.0,1,2,3
5.9,21.0,5,6,7
6.0,27.0,5,6,7
7.1,38.0,7,8,9
6.9,11.2,4,5,6
3.2,33.0,1,2,3
7.8,47.0,6,7,8
6.8,65.842,5,6,7
7.1,19.04,6,7,8
7.5,231.0,5,6,7
8.0,39.0,6,7,8
7.0,114.1,5,6,7
4.8,10.0,4,5,6
6.6,20.0,8,9,10
7.2,177.0,5,6,7
6.7,35.0,4,5,6
4.7,33.0,5,6,7
5.0,6.0,5,6,7
7.0,33.0,6,7,8
7.6,73.0,4,5,6
6.9,115.0,2,3,4
7.9,55.0,6,7,8
6.5,2.7,6,7,8
6.1,6.0,4,5,6
6.1,6.0,4,5,6
7.5,231.0,5,6,7
7.7,16.0,9,10,11
7.9,33.0,6,7,8
6.3,20.0,7,8,9
6.5,33.0,8,9,10
7.5,41.0,5,6,7
7.1,10.0,3,4,5
7.9,49.0,6,7,8
7.1,146.0,4,5,6
5.8,9.0,6,7,8
6.4,33.0,7,8,9
7.1,42.0,6,7,8
6.7,223.0,4,5,6
5.0,8.0,6,7,8
7.6,30.0,8,9,10
6.7,27.4,4,5,6
6.6,21.0,5,6,7
6.5,100.8,4,5,6
7.1,33.0,4,5,6
8.2,60.0,9,10,11
7.4,10.0,3,4,5
7.1,10.0,4,5,6
6.7,15.0,7,8,9
7.9,670.81,2,3,4
6.6,35.0,7,8,9
5.3,33.0,5,6,7
8.5,25.0,9,10,11
6.1,95.0,4,5,6
7.5,57.0,4,5,6
7.9,50.0,8,9,10
7.1,15.0,7,8,9
7.9,100.0,8,9,10
6.6,9.45,3,4,5
7.6,15.0,6,7,8
7.3,35.0,8,9,10
7.1,33.0,4,5,6
6.1,15.0,6,7,8
5.1,11.0,5,6,7
7.0,35.0,4,5,6
4.7,10.0,4,5,6
5.4,12.0,6,7,8
5.0,7.0,5,6,7
6.4,33.0,9,10,11
6.5,10.0,4,5,6
6.6,10.0,2,3,4
7.5,60.0,6,7,8
7.8,33.0,5,6,7
6.5,10.0,5,6,7
6.7,11.0,4,5,6
6.6,25.7,3,4,5
7.7,17.0,5,6,7
7.1,630.0,1,2,3
6.5,5.0,5,6,7
6.7,10.0,1,2,3
6.6,16.0,4,5,6
4.7,10.0,4,5,6
6.9,17.0,9,10,11
6.8,5.0,8,9,10
8.0,35.0,6,7,8
7.5,20.0,8,9,10
5.8,5.0,6,7,8
6.6,17.0,5,6,7
5.5,10.0,6,7,8
4.7,18.0,4,5,6
7.1,133.0,3,4,5
6.6,19.0,8,9,10
5.5,33.0,8,9,10
6.6,10.0,5,6,7
7.1,43.063,5,6,7
4.9,10.0,4,5,6
6.9,24.0,3,4,5
7.3,10.0,6,7,8
4.6,20.0,4,5,6
7.3,60.0,7,8,9
7.3,14.27,3,4,5
6.5,70.0,4,5,6
6.9,20.0,4,5,6
7.7,25.0,4,5,6
6.9,596.4,1,2,3
6.7,18.0,4,5,6
6.7,20.49,5,6,7
6.7,12.0,3,4,5
5.8,50.0,5,6,7
7.5,33.0,4,5,6
6.9,41.0,4,5,6
6.8,630.379,1,2,3
6.7,12.0,8,9,10
7.1,21.1,5,6,7
7.6,20.0,7,8,9
7.0,37.0,4,5,6
6.5,10.0,2,3,4
6.5,10.0,4,5,6
6.7,33.0,3,4,5
6.5,10.0,5,6,7
7.3,10.0,7,8,9
8.3,25.0,4,5,6
8.8,22.9,6,7,8
5.7,8.0,5,6,7
7.1,42.0,5,6,7
6.7,66.0,4,5,6
5.5,33.0,4,5,6
7.5,33.0,4,5,6
7.4,31.1,5,6,7
7.7,10.0,7,8,9
7.1,58.0,5,6,7
7.0,15.0,6,7,8
7.1,201.7,3,4,5
6.1,10.0,7,8,9
7.8,30.0,5,6,7
7.3,14.27,3,4,5
6.0,23.0,4,5,6
6.8,147.0,4,5,6
7.3,60.0,8,9,10
6.5,12.0,5,6,7
5.7,6.0,6,7,8
6.5,35.0,5,6,7
7.0,15.0,6,7,8
7.2,9.987,7,8,9
7.9,24.0,6,7,8
6.6,533.76,0,1,2
7.2,10.0,6,7,8
7.1,60.53,5,6,7
7.0,10.0,2,3,4
5.7,7.0,8,9,10
5.7,5.0,7,8,9
7.8,15.11,7,8,9
6.6,12.0,5,6,7
6.6,18.0,5,6,7
7.3,40.0,4,5,6
7.5,120.0,5,6,7
6.0,15.0,8,9,10
7.3,19.0,6,7,8
6.0,15.0,8,9,10
7.2,31.0,4,5,6
6.9,93.0,4,5,6
6.2,5.0,4,5,6
6.5,21.0,4,5,6
6.5,8.2,5,6,7
6.4,5.0,6,7,8
7.2,20.0,8,9,10
7.3,212.0,4,5,6
6.6,62.0,5,6,7
6.7,26.59,3,4,5
7.6,17.0,7,8,9
7.5,40.0,3,4,5
7.0,80.0,3,4,5
6.5,9.0,5,6,7
7.2,10.0,7,8,9
4.9,10.0,5,6,7
6.7,15.0,5,6,7
6.5,19.36,6,7,8
6.6,35.0,4,5,6
7.0,9.0,3,4,5
6.6,10.0,2,3,4
7.3,22.0,7,8,9
6.5,10.0,6,7,8
6.9,4.0,6,7,8
7.1,10.0,5,6,7
6.3,31.0,2,3,4
6.7,29.0,5,6,7
7.5,25.21,6,7,8
6.7,23.0,4,5,6
6.5,15.0,4,5,6
6.7,32.0,4,5,6
7.1,55.14,5,6,7
8.1,10.0,3,4,5
7.7,33.0,6,7,8
7.0,22.0,5,6,7
7.3,15.0,5,6,7
5.6,10.0,1,2,3
9.5,25.0,10,11,12
6.3,18.0,6,7,8
6.9,12.0,4,5,6
7.5,100.0,7,8,9
5.1,10.0,7,8,9
6.1,15.0,5,6,7
6.6,11.0,6,7,8
6.7,17.4,4,5,6
7.6,578.0,1,2,3
5.5,33.0,8,9,10
5.8,33.0,7,8,9
7.2,22.0,5,6,7
6.6,22.0,3,4,5
5.2,33.0,4,5,6
5.4,11.0,3,4,5
6.9,5.0,5,6,7
7.1,25.0,7,8,9
6.8,18.0,5,6,7
8.1,20.0,8,9,10
5.5,54.0,3,4,5
5.9,13.0,7,8,9
6.7,595.854,1,2,3
6.6,91.1,3,4,5
7.3,19.0,6,7,8
8.6,15.0,9,10,11
7.0,22.0,3,4,5
6.1,10.0,8,9,10
6.3,14.0,3,4,5
6.6,10.0,2,3,4
7.5,20.0,8,9,10
6.9,21.0,5,6,7
6.4,10.0,6,7,8
6.8,10.0,4,5,6
6.9,115.0,2,3,4
6.8,198.7,3,4,5
7.9,587.3,2,3,4
7.5,19.0,6,7,8
5.1,8.0,5,6,7
6.8,53.0,4,5,6
7.3,170.0,4,5,6
7.1,10.0,5,6,7
8.6,25.0,6,7,8
6.4,14.0,5,6,7
6.5,112.0,3,4,5
5.3,11.0,5,6,7
7.9,135.0,5,6,7
8.1,15.0,7,8,9
6.6,598.467,0,1,2
7.2,18.98,5,6,7
4.9,10.0,5,6,7
6.9,20.0,5,6,7
5.4,55.0,5,6,7
6.0,13.0,7,8,9
4.9,33.0,4,5,6
6.6,33.0,5,6,7
5.5,10.0,3,4,5
7.4,39.0,4,5,6
5.3,8.0,6,7,8
7.0,33.729,6,7,8
6.6,22.0,3,4,5
6.5,9.0,8,9,10
7.2,14.0,3,4,5
7.0,31.0,4,5,6
4.6,7.0,4,5,6
6.8,24.0,7,8,9
4.8,10.0,5,6,7
5.5,16.0,6,7,8
6.1,60.0,6,7,8
6.7,21.0,4,5,6
6.8,5.0,2,3,4
7.2,32.571,4,5,6
5.9,13.0,5,6,7
6.9,12.0,2,3,4
6.7,17.0,4,5,6
6.7,25.0,6,7,8
8.2,60.0,8,9,10
6.5,83.0,4,5,6
6.5,33.0,5,6,7
6.7,8.0,6,7,8
7.7,17.0,6,7,8
5.6,13.0,6,7,8
7.5,91.0,6,7,8
7.1,525.0,1,2,3
6.3,33.0,6,7,8
6.7,14.0,7,8,9
7.8,626.2,2,3,4
7.0,39.0,5,6,7
6.7,11.0,6,7,8
6.9,9.0,5,6,7
7.2,177.0,5,6,7
6.5,8.2,5,6,7
7.0,70.0,5,6,7
5.9,10.0,5,6,7
6.7,200.7,2,3,4
6.0,13.0,7,8,9
7.5,24.0,4,5,6
7.0,24.0,4,5,6
6.3,20.0,7,8,9
6.4,5.0,7,8,9
7.1,28.4,4,5,6
6.0,5.0,8,9,10
6.5,21.0,3,4,5
5.0,28.0,0,1,2
6.5,21.0,4,5,6
6.5,83.0,4,5,6
8.1,90.0,6,7,8
6.6,33.0,4,5,6
6.4,10.0,7,8,9
6.8,24.9,4,5,6
7.4,23.0,6,7,8
6.0,10.0,6,7,8
6.4,10.0,6,7,8
7.5,10.0,4,5,6
6.8,112.0,4,5,6
6.5,33.0,4,5,6
7.6,24.0,5,6,7
6.5,105.6,3,4,5
7.1,138.0,5,6,7
7.0,10.0,8,9,10
6.6,10.0,4,5,6
6.5,17.0,3,4,5
7.5,20.0,8,9,10
7.0,33.0,5,6,7
7.4,30.0,5,6,7
6.5,577.0,0,1,2
7.0,13.0,7,8,9
4.8,10.0,3,4,5
7.3,13.0,8,9,10
6.7,65.8,3,4,5
7.1,9.0,7,8,9
6.9,9.97,3,4,5
6.0,15.0,5,6,7
7.6,33.0,4,5,6
6.7,13.0,3,4,5
7.1,434.0,4,5,6
7.7,196.0,4,5,6
6.8,53.0,4,5,6
8.1,33.0,9,10,11
6.6,21.0,4,5,6
6.8,33.0,4,5,6
6.8,35.0,4,5,6
7.7,17.0,6,7,8
5.6,13.0,6,7,8
6.9,26.0,4,5,6
4.5,15.0,5,6,7
8.4,40.0,9,10,11
5.2,7.0,6,7,8
6.5,10.0,3,4,5
6.5,11.0,7,8,9
6.9,21.0,3,4,5
6.1,6.0,3,4,5
6.7,10.0,5,6,7
6.8,11.0,3,4,5
6.5,460.0,2,3,4
5.0,6.0,6,7,8
7.5,27.0,7,8,9
6.6,33.0,4,5,6
6.7,15.0,7,8,9
6.1,88.0,3,4,5
6.7,64.0,3,4,5
4.3,5.0,6,7,8
7.3,527.0,2,3,4
6.8,12.0,5,6,7
6.7,34.0,4,5,6
6.6,10.0,7,8,9
6.5,10.0,3,4,5
6.5,10.0,5,6,7
7.0,33.0,4,5,6
5.4,53.0,3,4,5
5.2,21.0,6,7,8
7.0,10.0,8,9,10
6.6,7.0,5,6,7
6.6,33.0,4,5,6
5.8,16.0,6,7,8
6.6,591.0,1,2,3
7.1,40.7,5,6,7
6.6,10.0,5,6,7
7.8,40.0,5,6,7
8.5,30.0,9,10,11
7.0,22.0,6,7,8
5.4,35.0,7,8,9
6.9,10.0,5,6,7
7.9,10.0,4,5,6
6.8,34.0,4,5,6
7.2,110.0,5,6,7
6.8,26.0,5,6,7
7.3,5.0,8,9,10
7.8,20.0,10,11,12
5.9,70.0,6,7,8
6.5,10.0,4,5,6
6.7,33.0,2,3,4
6.9,13.0,2,3,4
7.0,10.0,8,9,10
6.5,13.0,4,5,6
6.9,10.0,3,4,5
7.1,133.0,3,4,5
8.1,230.0,5,6,7
6.5,5.0,5,6,7
6.9,6.43,5,6,7
6.9,60.0,6,7,8
6.5,12.0,5,6,7
6.6,181.0,2,3,4
7.3,33.0,4,5,6
7.0,150.0,7,8,9
5.9,10.0,7,8,9
6.7,31.0,4,5,6
4.9,25.0,3,4,5
6.7,18.0,3,4,5
6.9,188.6,3,4,5
6.8,10.0,2,3,4
7.3,5.0,8,9,10
6.6,67.2,4,5,6
6.0,9.0,4,5,6
7.9,4.2,7,8,9
4.7,24.0,5,6,7
7.1,141.9,4,5,6
6.9,24.0,3,4,5
7.6,15.0,4,5,6
6.8,53.0,3,4,5
7.3,15.0,5,6,7
7.0,21.0,5,6,7
6.7,26.59,3,4,5
6.6,16.1,3,4,5
6.8,72.6,4,5,6
8.3,3.0,7,8,9
7.6,24.0,5,6,7
6.8,52.0,6,7,8
6.5,122.0,3,4,5
4.7,13.0,6,7,8
6.8,24.0,6,7,8
6.4,8.0,7,8,9
6.7,57.0,5,6,7
7.3,82.0,6,7,8
6.9,15.0,8,9,10
7.1,133.0,3,4,5
6.5,13.0,6,7,8
5.5,16.0,5,6,7
5.8,10.0,7,8,9
7.0,10.0,9,10,11
7.9,35.0,5,6,7
7.1,525.0,1,2,3
5.6,217.0,2,3,4
6.2,7.0,6,7,8
6.8,19.0,4,5,6
6.6,10.0,4,5,6
6.6,14.0,7,8,9
7.3,19.0,5,6,7
6.7,11.0,2,3,4
6.8,14.0,4,5,6
6.6,19.0,5,6,7
5.6,21.0,5,6,7
6.6,17.0,5,6,7
6.9,107.0,5,6,7
6.8,163.0,6,7,8
6.7,550.0,1,2,3
6.7,127.9,4,5,6
6.4,142.0,5,6,7
6.9,33.0,4,5,6
6.7,12.0,5,6,7
7.0,10.0,5,6,7
6.6,27.0,3,4,5
6.5,15.0,6,7,8
6.7,91.0,4,5,6
7.1,18.0,8,9,10
7.2,110.0,5,6,7
4.7,16.0,4,5,6
7.0,10.0,4,5,6
6.6,10.0,7,8,9
7.1,43.98,6,7,8
7.7,10.0,7,8,9
4.7,33.0,5,6,7
6.9,33.0,3,4,5
7.7,16.0,7,8,9
5.7,5.0,6,7,8
7.1,525.0,1,2,3
7.0,267.0,2,3,4
5.4,7.0,6,7,8
7.1,55.14,5,6,7
8.0,27.9,7,8,9
7.6,28.0,3,4,5
6.6,33.0,6,7,8
4.5,27.0,5,6,7
7.0,13.0,7,8,9
7.0,22.0,5,6,7
7.1,10.0,3,4,5
7.3,40.0,4,5,6
7.3,16.0,8,9,10
7.8,15.11,7,8,9
7.7,15.0,6,7,8
7.7,44.0,6,7,8
5.1,30.0,5,6,7
6.7,19.9,5,6,7
7.7,17.0,5,6,7
6.0,23.0,4,5,6
7.1,45.0,4,5,6
4.3,5.0,6,7,8
5.8,10.0,4,5,6
7.4,173.7,4,5,6
8.1,24.0,6,7,8
6.7,10.0,3,4,5
5.2,42.0,1,2,3
6.5,17.0,2,3,4
7.4,18.5,8,9,10
6.6,14.0,7,8,9
6.5,9.0,5,6,7
7.7,48.0,6,7,8
7.1,28.0,4,5,6
6.2,30.0,6,7,8
7.5,33.0,4,5,6
7.3,35.0,5,6,7
6.8,150.0,3,4,5
6.3,33.0,5,6,7
8.7,30.0,6,7,8
7.0,143.0,4,5,6
6.3,93.0,3,4,5
6.7,30.1,5,6,7
4.7,10.0,4,5,6
6.7,10.0,8,9,10
7.0,267.0,2,3,4
6.0,10.0,5,6,7
8.1,30.0,5,6,7
7.4,6.0,7,8,9
6.6,15.0,5,6,7
6.5,15.0,7,8,9
6.6,23.0,3,4,5
8.2,50.0,9,10,11
7.2,10.0,7,8,9
7.6,31.0,3,4,5
7.3,41.0,6,7,8
